"","Country","Subject.Descriptor","Units","Scale","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"1","Afghanistan","Gross domestic product, constant prices","National currency","Billions",NA,NA,453.484,492.903,496.209,554.91,584.658,662.65,688.247,829.924,899.956,958.266,1092.12,1154.18,1185.31,1197.01,1222.92,1255.29,1270.22,1319.9,1288.87,NA
"2","Afghanistan","Gross domestic product, constant prices","Percent change","",NA,NA,NA,8.692,0.671,11.83,5.361,13.34,3.863,20.585,8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.647,1.189,3.912,-2.351,NA
"3","Afghanistan","GDP Domestic Currency","National currency","Billions",NA,NA,178.756,220.013,246.21,304.926,345.817,427.495,517.509,607.227,711.759,836.222,1033.59,1116.83,1183.04,1226.57,1222.92,1285.46,1327.69,1469.6,1547.29,NA
"4","Afghanistan","GDP U.S. Dollars","U.S. dollars","Billions",NA,NA,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.401,18.876,20.136,NA
"5","Afghanistan","Gross domestic product, current prices","Purchasing power parity; international dollars","Billions",NA,NA,19.661,21.792,22.527,25.982,28.22,32.848,34.772,42.198,46.309,50.334,59.945,63.784,69.444,72.056,70.098,74.712,77.406,81.873,80.912,NA
"6","Afghanistan","Gross domestic product, deflator","Index","",NA,NA,39.418,44.636,49.618,54.951,59.149,64.513,75.192,73.167,79.088,87.264,94.641,96.764,99.809,102.469,100,102.404,104.525,111.341,120.05,NA
"7","Afghanistan","Gross domestic product per capita, constant prices","National currency","Units",NA,NA,24240.97,25307.04,24519.48,26491.22,27072.44,29547.74,29927.65,35172.94,37083.17,38282.44,42225.02,43169.34,42944.6,42110.88,41880.72,42265.57,40196.7,40990.73,39127.08,NA
"8","Afghanistan","Gross domestic product per capita, constant prices","Purchasing power parity; 2017 international dollar","Units",NA,NA,1442.77,1506.22,1459.35,1576.7,1611.29,1758.62,1781.23,2093.42,2207.11,2278.49,2513.14,2569.34,2555.97,2506.35,2492.65,2515.55,2392.42,2439.68,2328.76,NA
"9","Afghanistan","GDP p.c. Domestic currency","National currency","Units",NA,NA,9555.4,11296.1,12166.14,14557.09,16012.96,19062.11,22503.29,25734.84,29328.41,33406.83,39962.17,41772.32,42862.46,43150.71,41880.72,43281.49,42015.52,45639.64,46972.1,NA
"10","Afghanistan","GDP p.c. U.S. Dollars","U.S. dollars","Units",NA,NA,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,NA
"11","Afghanistan","Gross domestic product per capita, current prices","Purchasing power parity; international dollars","Units",NA,NA,1050.99,1118.87,1113.15,1240.38,1306.71,1464.72,1512,1788.4,1908.19,2010.83,2317.69,2385.71,2516.01,2534.92,2400.62,2515.55,2449.57,2542.64,2456.29,NA
"13","Afghanistan","Gross domestic product based on purchasing-power-parity (PPP) share of world total","Percent","",NA,NA,0.036,0.037,0.036,0.038,0.038,0.041,0.041,0.05,0.052,0.053,0.06,0.061,0.064,0.065,0.061,0.061,0.06,0.061,0.061,NA
"14","Afghanistan","Implied PPP conversion rate","National currency per current international dollar","",NA,NA,9.092,10.096,10.929,11.736,12.254,13.014,14.883,14.39,15.37,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.152,17.95,19.123,NA
"15","Afghanistan","Total investment","Percent of GDP","",NA,NA,27.243,30.102,35.354,37.048,29.489,55.852,30.222,36.503,30.269,26.407,25.34,23.093,17.46,18.467,19.283,18.481,18.039,18.192,16.462,NA
"16","Afghanistan","Gross national savings","Percent of GDP","",NA,NA,61.151,59.718,72.57,67.274,50.333,119.243,63.99,78.09,59.699,52.981,36.204,24.538,24.009,22.176,28.312,26.058,30.197,29.897,27.619,NA
"17","Afghanistan","Inflation, average consumer prices","Index","",NA,NA,31.263,42.413,49.351,54.566,58.269,63.327,80.057,74.604,76.229,85.227,90.717,97.417,101.97,101.296,105.736,110.998,111.693,114.264,120.671,NA
"18","Afghanistan","Inflation, average consumer prices","Percent change","",NA,NA,NA,35.663,16.358,10.569,6.785,8.681,26.419,-6.811,2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,0.626,2.302,5.607,NA
"19","Afghanistan","Inflation, end of period consumer prices","Index","",NA,NA,42.89,45.691,51.752,57.219,59.671,69.273,82.306,74.211,81.814,89.433,94.687,101.543,103.053,104.218,109,112.315,113.162,116.3,122.1,NA
"20","Afghanistan","Inflation, end of period consumer prices","Percent change","",NA,NA,NA,6.53,13.266,10.562,4.285,16.092,18.814,-9.836,10.246,9.312,5.875,7.241,1.487,1.131,4.588,3.041,0.755,2.773,4.987,NA
"22","Afghanistan","Volume of imports of goods and services","Percent change","",NA,NA,NA,36.077,-1.088,54.659,-2.541,-9.417,-8.876,30.203,32.771,12.749,30.54,3.61,-14.292,16.07,-7.54,4.199,-5.188,-7.473,-2.925,NA
"23","Afghanistan","Volume of Imports of goods","Percent change","",NA,NA,NA,33.776,-3.63,50.988,-1.326,-14.673,-4.421,28.028,34,7.977,34.866,7.832,-16.002,24.27,-7.2,2.286,-8.103,-4.937,-2.844,NA
"24","Afghanistan","Volume of exports of goods and services","Percent change","",NA,NA,NA,49.721,-6.049,46.504,-7.69,-10.467,-6.459,30.656,10.856,2.823,-23.515,-37.604,51.906,-11.653,-14.811,-6.6,28.012,-3.838,0.534,NA
"25","Afghanistan","Volume of exports of goods","Percent change","",NA,NA,NA,88.025,-27.539,17.471,-33.069,38.542,51.414,-20.925,-2.253,-9.483,4.546,9.76,34.978,12.886,13.944,18.11,2.545,1.531,-16.606,NA
"28","Afghanistan","Population","Persons","Millions",NA,NA,18.707,19.477,20.237,20.947,21.596,22.426,22.997,23.596,24.269,25.031,25.864,26.736,27.601,28.425,29.2,29.7,31.6,32.2,32.941,NA
"29","Afghanistan","General government revenue","National currency","Billions",NA,NA,12.235,21.618,31.209,44.926,65.518,81.163,88.162,117.745,154.612,177.821,260.571,271.903,280.187,301.356,344.327,347.829,405.873,395.923,397.564,NA
"30","Afghanistan","General government revenue","Percent of GDP","",NA,NA,6.845,9.826,12.676,14.733,18.946,18.986,17.036,19.391,21.722,21.265,25.21,24.346,23.684,24.569,28.156,27.059,30.57,26.941,25.694,NA
"31","Afghanistan","General government total expenditure","National currency","Billions",NA,NA,12.411,26.242,37.101,47.868,63.294,91.817,108.251,128.548,148.052,183.439,258.689,278.95,300.521,318.255,342.771,356.482,384.176,411.473,432.266,NA
"32","Afghanistan","General government total expenditure","Percent of GDP","",NA,NA,6.943,11.927,15.069,15.698,18.303,21.478,20.918,21.17,20.801,21.937,25.028,24.977,25.402,25.947,28.029,27.732,28.936,27.999,27.937,NA
