WEO Country Code,ISO,Country,Region,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
171,AND,Andorra,Europe,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office. Ministry of Finance Latest actual data: 2020 National accounts manual used: The manual used is not specified GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Euro Data last updated: 07/2021,1.551,1.729,1.866,2.092,2.332,2.541,2.755,2.888,2.789,2.645,2.602,2.607,2.482,2.405,2.463,2.515,2.617,2.656,2.725,2.818,2.508,2.681,2020
171,AND,Andorra,Europe,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.429,1.547,1.758,2.362,2.896,3.158,3.456,3.952,4.082,3.675,3.446,3.625,3.189,3.193,3.267,2.789,2.895,2.993,3.217,3.155,2.858,3.213,2020
171,AND,Andorra,Europe,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"37,022.48","37,367.71","35,578.00","34,367.26","34,897.12","35,054.23","35,795.91","35,507.66","35,775.50","36,346.54","32,142.40","33,725.83",2020
171,AND,Andorra,Europe,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"49,030.23","51,957.31","45,713.97","45,630.20","46,299.28","38,877.49","39,595.32","40,017.74","42,229.90","40,688.49","36,630.55","40,417.27",2020
171,AND,Andorra,Europe,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",n/a,n/a,3.072,2.764,3.309,3.275,3.02,4.082,0.877,1.009,1.69,2.164,1.054,0.182,-0.869,-0.53,0.943,2.376,0.751,1.009,-0.202,2.3,2020
171,AND,Andorra,Europe,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Euro Data last updated: 07/2021,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.225,3.975,6.175,6.325,5.8,3.575,3.025,1.725,1.525,1.775,2.85,3.1,2020
171,AND,Andorra,Europe,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: Euro Data last updated: 07/2021,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.07,0.07,0.07,0.07,0.071,0.072,0.073,0.075,0.076,0.078,0.078,0.079,2020
171,AND,Andorra,Europe,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 Fiscal assumptions: Expenditure: Approved budget and authorities' medium term fiscal framework. Revenue: GDP growth projections combined with assumptions of multipliers and revenue elasticities. Start/end months of reporting year: January/December GFS Manual used: Manual used not specified. Basis of recording: Cash General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Current market value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans Primary domestic currency: Euro Data last updated: 07/2021,1.551,1.729,1.866,2.092,2.332,2.541,2.755,2.888,2.789,2.645,2.602,2.607,2.482,2.405,2.463,2.515,2.617,2.656,2.725,2.818,2.508,2.681,2019
193,AUS,Australia,Australiasia,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2020. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018. The base period is 2018Q3-2019Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 09/2021",685.406,727.786,780.366,827.742,891.602,961,"1,037.09","1,130.38","1,234.13","1,262.38","1,361.45","1,466.45","1,515.07","1,567.93","1,614.48","1,640.74","1,702.13","1,806.53","1,899.64","2,002.13","1,968.90","2,134.73",2020
193,AUS,Australia,Australiasia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",399.101,376.714,424.425,539.562,656.735,734.053,781.294,947.89,"1,055.51",998.925,"1,251.86","1,513.68","1,569.31","1,518.43","1,457.38","1,234.84","1,266.20","1,385.20","1,421.19","1,392.33","1,359.37","1,610.56",2020
193,AUS,Australia,Australiasia,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","35,808.20","37,540.94","39,803.54","41,747.90","44,477.79","47,313.00","50,277.04","53,786.19","57,466.69","57,733.50","61,402.91","65,111.10","66,079.49","67,299.60","68,293.33","68,407.91","69,788.97","72,922.48","75,468.32","78,336.24","76,627.57","82,998.54",2020
193,AUS,Australia,Australiasia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","20,850.53","19,431.83","21,648.34","27,213.27","32,761.41","36,139.69","37,876.24","45,102.98","49,149.23","45,684.73","56,459.92","67,208.49","68,445.12","65,174.72","61,648.08","51,484.64","51,915.24","55,915.00","56,460.90","54,476.91","52,905.40","62,618.59",2020
193,AUS,Australia,Australiasia,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",5.789,3.146,3.05,2.445,2.638,2.693,3.337,2.999,3.695,2.052,2.646,2.99,2.102,2.745,1.622,1.69,1.385,2.095,1.695,1.842,0.861,2.55,2020
193,AUS,Australia,Australiasia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2020. Data refer to calendar years Employment type: National definition Primary domestic currency: Australian dollar Data last updated: 09/2021,6.292,6.775,6.367,5.942,5.392,5.042,4.792,4.375,4.258,5.575,5.208,5.083,5.233,5.658,6.058,6.058,5.717,5.592,5.3,5.158,6.492,5.227,2020
193,AUS,Australia,Australiasia,Population,Persons,Millions,Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2020 Primary domestic currency: Australian dollar Data last updated: 09/2021,19.141,19.386,19.605,19.827,20.046,20.312,20.628,21.016,21.476,21.866,22.172,22.522,22.928,23.298,23.64,23.985,24.39,24.773,25.171,25.558,25.694,25.72,2020
193,AUS,Australia,Australiasia,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"Source: Ministry of Finance or Treasury. Treasury Department Latest actual data: 2019 Notes: Social Benefits series comprises social security and welfare spending for which we do not have comparable data prior to 2004 Fiscal assumptions: Fiscal projections are based on data from the Australian Bureau of Statistics, FY2021/22 budget of the Commonwealth government, and the FY2020/21 and FY2021/22 budgets published by each state/territory government (as of September 10), and the IMF staff estimates and projections Start/end months of reporting year: January/December. July/June by authorities, and Jan/Dec by staff GFS Manual used: Government Finance Statistics Manual (GFSM) 2014. The IMF has published a revised Government Finance Statistics Manual (GFSM 2014), and the Australian system has been updated to reflect the new international standards. These changes are presented in the Australian System of Government Finance Statistics: Concepts, Sources and Methods, 2015 (cat. no. 5514.0), and will be implemented for data reported for periods from 1 July 2017 onwards, Source: ABS Basis of recording: Accrual General government includes: Central Government; State Government; Local Government; Other;. Other includes Territory governments Valuation of public debt: Current market value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans; Shares and Other Equity; Other Accounts Receivable/Payable Primary domestic currency: Australian dollar Data last updated: 09/2021",685.406,727.786,780.366,827.742,891.602,961,"1,037.09","1,130.38","1,234.13","1,262.38","1,361.45","1,466.45","1,515.07","1,567.93","1,614.48","1,640.74","1,702.13","1,806.53","1,899.64","2,002.13","1,968.90","2,134.73",2019
122,AUT,Austria,Europe,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",213.606,220.525,226.735,231.863,242.348,254.075,267.824,283.978,293.762,288.044,295.897,310.129,318.653,323.91,333.146,344.269,357.608,369.341,385.362,397.575,378.981,402.907,2019
122,AUT,Austria,Europe,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",197.377,197.51,214.243,262.208,301.321,316.267,336.298,389.231,432.005,401.323,392.595,431.609,409.661,430.197,442.699,382.01,395.728,417.091,455.301,445.125,432.524,481.209,2019
122,AUT,Austria,Europe,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","26,662.25","27,420.66","28,053.94","28,560.67","29,665.22","30,889.53","32,393.09","34,234.06","35,301.38","34,531.52","35,389.81","36,970.54","37,816.44","38,209.44","38,992.13","39,894.38","40,917.16","41,900.86","43,374.17","44,879.15","42,577.31","45,040.12",2019
